Brand Name,Product Details,Product Price,Avaliable Sizes
Under Armour,Under Armour 安德玛 小标纯色休闲运动翻领训练透气短袖Polo衫 男款 黑色 上衣 POLO领 聚酯纤维100% 纯色 POLO领 短袖 合身,177,"Size：S,M,L,XL,XXL"
FANG KONG,"FANG KONG 潮牌简约美式宽松短袖Polo衫 男款 上衣 POLO领 棉,涤纶（聚酯纤维） 纯色 POLO领 短袖 合身",79,"Size：S,M,L,XL,XXL"
BALENO,BALENO 班尼路 基础款日系简约纯色休闲宽松翻领通勤百搭商务舒适透气短袖T恤 上衣 POLO领 聚酯纤维100% 纯色 POLO领 短袖 合身,49,"Size：S,M,L,XL,XXL"
CSKS,CSKS 轻奢商务风征战骑士字母品牌Logo印花基础柔软凉感冰丝透气撞色拼接条纹Polo领百搭宽松休闲短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色 POLO领 短袖 合身,74,"Size：S,M,L,XL,XXL"
adidas Tennis Fab Polo Shirt,adidas Tennis Fab Polo Shirt 速干纯色Logo标识网球运动短袖Polo衫 男款 黑色 上衣 POLO领 聚酯纤维100% 纯色 POLO领 短袖 合身,129,"Size：S,M,L,XL,XXL"
U,U.S. POLO ASSN. 纯棉纯色商务休闲刺绣logo字母舒适不紧绷短袖Polo衫 男款 上衣 POLO领 棉100% 纯色 POLO领 短袖 宽松,159,"Size：S,M,L,XL,XXL"
CHARLIE GOLF,CHARLIE GOLF 美式高街潮牌品牌LOGO字母基础款印花三条杠拼接条纹袖户外运动凉感城市出行商务翻领透气经典简约百搭通勤短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色，条纹 POLO领 短袖 宽松,99,"Size：S,M,L,XL,XXL"
CSKS,CSKS 万针精致刺绣签名字体Logo死神马球二合一轻奢商务风基础拼色条纹polo领柔软凉感冰丝透气百搭宽松休闲短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色，条纹 POLO领 短袖 宽松,77,"Size：S,M,L,XL,XXL"
CSKS,CSKS 新中式国风玫瑰植物花卉死神骷髅Logo印花轻奢商务风基础柔软凉感冰丝透气拼色条纹Polo领百搭宽松休闲短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色，条纹 POLO领 短袖 宽松,74,"Size：S,M,L,XL,XXL"
LiNing,LiNing李宁 训练系列 纯色刺绣Logo运动休闲短袖Polo衫 男女同款 黑色 上衣 POLO领 聚酯纤维100% 纯色 POLO领 短袖 宽松,70,"Size：S,M,L,XL,XXL"
CAMEL,CAMEL骆驼 城市机能系列 户外速干透气排汗轻薄百搭圆领T恤 男款 上衣 POLO领 聚酯纤维100% 纯色 圆领 短袖 宽松,65,"Size：S,M,L,XL,XXL"
CAMEL,CAMEL骆驼 城市机能系列 户外速干透气排汗轻薄百搭圆领T恤 男款 上衣 POLO领 聚酯纤维100% 纯色 圆领 短袖 宽松,65,"Size：S,M,L,XL,XXL"
PUNCTILIOUS,PUNCTILIOUS 美式高街潮流品牌LOGO字母印花小众高级感纯色简约百搭宽松休闲透气速干吸汗学院风日常通勤短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色 POLO领 短袖 宽松,99,"Size：S,M,L,XL,XXL"
PAUL COSTELLOE,PAUL COSTELLOE保罗.科斯特洛 复古经典美式时尚潮流简约花体签名印花字母立体硅胶刻字膜凉感吸汗舒适柔软耐穿cleanfit小众设计百搭中性风短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 撞色，格子 POLO领 短袖 宽松,168,"Size：S,M,L,XL,XXL"
CSKS,CSKS 新中式国风轻商务简约纯色基础款签名字体植物花卉Logo印花柔软凉感冰丝透气翻领百搭宽松休闲短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色，条纹，花卉图案 POLO领 短袖 宽松,74,"Size：S,M,L,XL,XXL"
PAUL COSTELLOE,PAUL COSTELLOE保罗.科斯特洛 亲肤混纺抗皱面料高智感复古西部牛仔logo印花品牌高级感重磅宽松休闲百搭老钱风潮流落肩透气吸汗vintage短袖Polo衫 男女同款 上衣 POLO领 棉70%聚酯纤维27%氨纶 纯色 POLO领 短袖 宽松,179,"Size：S,M,L,XL,XXL"
CAMEL,CAMEL骆驼 城市机能系列 冰感排汗透气上衣POLO衫 男款 上衣 POLO领 棉71.9% 聚酯纤维24.2% 氨纶3.9% 纯色，条纹 POLO领 短袖 宽松,119,"Size：S,M,L,XL,XXL"
Anta,Anta安踏 生活系列 纯色舒适透气百搭休闲短袖Polo衫 男款 男装灰 上衣 POLO领 聚酯纤维86% 氨纶14% 纯色 POLO领 短袖 宽松,89,"Size：S,M,L,XL,XXL"
THE NORTH FACE SS25,北面THE NORTH FACE SS25 纯棉圆领休闲套头短袖美式透气正肩T恤 男女同款 黑色 上衣 圆领 棉 纯色 圆领 短袖 合身,156,"Size：S,M,L,XL,XXL"
CSKS,CSKS 轻奢商务简约纯色马球数字品牌字母Logo印花基础款柔软凉感冰丝透气翻领短袖百搭宽松休闲Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色，条纹。数字 POLO领 短袖 宽松,99,"Size：S,M,L,XL,XXL"
CSKS,CSKS 万针精致刺绣马球小标品牌Logo轻奢商务风简约柔软凉感透气条纹百搭宽松休闲短袖Polo衫 男女同款 上衣 POLO领 聚酯纤维100% 纯色，条纹 POLO领 短袖 宽松,74,"Size：S,M,L,XL,XXL"
ATLETICO DE MADRID 1903,ATLETICO DE MADRID 1903 美式基础款山系纯色抽绳中腰宽松多口袋透气直筒休闲五分工装短裤 男女同款 下装 五分裤 聚酯纤维100% 纯色 五分裤 中腰 宽松,99,"Size：S,M,L,XL,XXL"
PAUL COSTELLOE,PAUL COSTELLOE保罗.科斯特洛 美式高街复古潮流时尚机能多功能字母纯色抽绳系带百搭休闲舒适宽松日常通勤运动工装短裤 男女同款 下装 五分裤 聚酯纤维100% 纯色 五分裤 中腰 宽松,89,"Size：S,M,L,XL,XXL"
ROBINHOOD,罗宾汉 ROBINHOOD 美式高街复古品牌logo字母纯色抽绳系带宽松五分工装短裤 男女同款 下装 五分裤 聚酯纤维100% 纯色 五分裤 中腰 宽松,89,"Size：S,M,L,XL,XXL"
find yourself,find yourself 美式高街潮流工装废土风纯色基础款松紧系带多口袋中性穿搭伐木五分裤子直筒宽松运动休闲短裤 男女同款 下装 五分裤 锦纶 纯色 五分裤 中腰 宽松,99,"Size：S,M,L,XL,XXL"
Caramella,卡拉美拉Caramella 日系原宿纯色百搭多巴胺色系简约宽松日常亲肤凉感五分工装短裤 男女同款 下装 五分裤 锦纶100% 纯色 五分裤 中腰 宽松,109,"Size：S,M,L,XL,XXL"
EVE Jeans,依文 EVE Jeans 美式高街品牌logo字母无性别主义精致口袋校园百搭独特裁剪抽绳系带舒适五分篮球运动针织直筒工装短裤 男女同款 下装 五分裤 聚酯纤维100% 纯色 五分裤 中腰 宽松,79,"Size：S,M,L,XL,XXL"
The Simpsons,The Simpsons辛普森一家 纯色基础款品牌LOGO刺绣松紧系带多口袋美式高街潮流工装废土风中性穿搭伐木五分裤子直筒宽松运动休闲短裤 男女同款 下装 五分裤 锦纶100% 纯色 五分裤 中腰 宽松,99,"Size：S,M,L,XL,XXL"
MINISO,名创优品MINISO 美式高街风潮牌酷帅纯色基础款轻薄宽松透气冰丝凉感五分裤户外休闲运动通勤大口袋微皱垂坠感机能中腰系带工装短裤 男款 下装 五分裤 锦纶100% 纯色 五分裤 中腰 宽松,79,"Size：S,M,L,XL,XXL"
Colorful Creations,Colorful Creations 美式复古宽松休闲绑带机能风五分舒适透气经典潮流时尚百搭户外运动工装短裤 男女同款 下装 五分裤 锦纶100% 纯色 五分裤 中腰 宽松,99,"Size：S,M,L,XL,XXL"
City Hipster,City Hipster 城市潮人夏季美式休闲痞帅高端大口袋宽松潮牌户外机能五分裤子工装短裤 男女同款 下装 五分裤 锦纶100% 纯色 五分裤 中腰 宽松,99,"Size：S,M,L,XL,XXL"
EVE Jeans,依文 EVE Jeans 美式高街品牌logo字母印花痞帅潮流无性别主义日常居家户外通勤校园学生时尚百搭抽绳系带精致口袋工装短裤 男女同款 下装 五分裤 锦纶100% 纯色，字母 五分裤 中腰 宽松,89,"Size：S,M,L,XL,XXL"
The Simpsons,The Simpsons辛普森一家 卡通Logo标侧边撞色条纹宽松纯色系带运动五分休闲短裤 男女同款 下装 五分裤 聚酯纤维62.6% 棉35.8% 氨纶1.6% 纯色，条纹 五分裤 中腰 宽松,129,"Size：S,M,L,XL,XXL"
No Tears,No Tears 冰丝扎染五分裤美式宽松logo字母刺绣多彩抽绳学院风过膝百搭简约基础款速干潮流跑步运动学生休闲短裤 男女同款 下装 五分裤 聚酯纤维100% 刺绣 五分裤 中腰 宽松,189,"Size：S,M,L,XL,XXL"
Jeep,Jeep吉普 休闲系列 SS25 美式经典复古休闲运动山系户外轻薄透气宽松舒适五分工装短裤 男款 下装 五分裤 锦纶100% 纯色 五分裤 中腰 宽松,119,"Size：S,M,L,XL,XXL"
adidas originals RETRO TREFOIL,adidas originals RETRO TREFOIL 撞色运动复古运动立领长袖夹克外套 男女同款 亮白 上衣 夹克 涤纶（聚酯纤维） 纯色，条纹 高领 长袖 宽松,349,"Size：S,M,L,XL,XXL"
PCLP,PCLP 拼接标语加厚保暖字母立领加绒加厚棉服 男女同款 上衣 棉服 聚酯纤维100% 纯色 高领 长袖 合身,248,"Size：S,M,L,XL,XXL"
GOLFCROSS,GOLFCROSS 加厚90白鸭绒立领简约基础款面包服字母Logo印花保暖防寒羽绒服 外套 男女同款 情侣款 上衣 羽绒 聚酯纤维100% 纯色，字母 高领 长袖 宽松,251,"Size：S,M,L,XL,XXL"
PRESSURE,PRESSURE 基础立体字母纯色Logo印花休闲宽松立领面包棉服 男女同款 上衣 羽绒 聚酯纤维100% 纯色 高领 长袖 宽松,99,"Size：S,M,L,XL,XXL"
ACHS AWAKE,ACHS AWAKE觉醒青年 涂鸦恐龙轻薄款羽绒服 男女同款 上衣 羽绒 聚酯纤维100% 纯色，恐龙图案 高领 长袖 合身,389,"Size：S,M,L,XL,XXL"
P,P5 P5 多拉链系列 纯色防水防风青少年户外登山运动连帽休闲下摆抽绳宽松百搭棒球领学生机能风登上棉服三合一外套夹克 男女同款 上衣 夹克 聚酯纤维100% 羽绒服填充物；鸭绒90% 纯色 连帽 长袖 合身,239,"Size：S,M,L,XL,XXL"
adidas 3,adidas 3-Stripes 休闲复古运动立领条纹品牌Logo 黑底白条纹夹克 男女同款 上衣 夹克 涤纶（聚酯纤维） 纯色，条纹 高领 长袖 合身,259,"Size：S,M,L,XL,XXL"
adidas ESSENTIALS,adidas ESSENTIALS 针织立领合身防风运动Logo复古条纹夹克 国际版 秋季 男款 黑色 上衣 夹克 聚酯纤维100% 纯色，条纹 高领 长袖 合身,201,"Size：S,M,L,XL,XXL"
SENCE LA,SENCE LA 抽绳大口袋羊羔绒开衫加绒夹克 男女同款 乳白色 送礼推荐 情侣款 上衣 夹克 聚酯纤维100% 撞色，字母 高领 长袖 宽松,169,"Size：S,M,L,XL,XXL"
MATCHA STORY,MATCHA STORY 字母刺绣宽松拼色棒球服 男女同款情侣款 上衣 夹克 聚酯纤维（聚酯复合弹性纤维）100% 里料：聚酯纤维100% 撞色，字母，条纹 圆领 长袖 宽松,199,"Size：S,M,L,XL,XXL"
CAMEL,CAMEL骆驼 全天候系列 攀冰 撞色拼接休闲户外可拆卸抓绒内胆连帽 防水防风透气保暖冲锋衣 男女同款 上衣 夹克 聚酯纤维100% 撞色 连帽 长袖 合身,319,"Size：S,M,L,XL,XXL"
adidas Essential SS25 WINDBREAKER,adidas Essential SS25 WINDBREAKER 舒适百搭运动条纹休闲夹克外套 男款 白色 上衣 夹克 聚酯纤维100% 纯色，条纹 高领 长袖 合身,329,"Size：S,M,L,XL,XXL"
adidas originals RETRO TREFOIL,adidas originals RETRO TREFOIL 撞色运动复古运动立领长袖夹克外套 男女同款 亮白 上衣 夹克 涤纶（聚酯纤维） 纯色，条纹 高领 长袖 宽松,349,"Size：S,M,L,XL,XXL"
adidas originals,adidas originals 三叶草系列服 复古立领柔软舒适长袖百搭运动条纹夹克外套 男女同款 深靛蓝 上衣 夹克 涤纶（聚酯纤维） 纯色，条纹 高领 长袖 宽松,283,"Size：S,M,L,XL,XXL"
Nike,Nike 运动生活系列 基础款Logo休闲拉链连帽夹克 春季 男款 黑色 上衣 夹克 棉80% 聚酯纤维20% 纯色，字母 连帽 长袖 宽松,243,"Size：S,M,L,XL,XXL"
adidas originals STAG TRACK,adidas originals STAG TRACK 休闲简约百搭连帽夹克外套 男女同款 亮白 上衣 夹克 涤纶（聚酯纤维） 纯色，条纹 连帽 长袖 合身,319,"Size：S,M,L,XL,XXL"
CAMEL,CAMEL骆驼 行侠 全天候系列 户外纯色轻量化高透湿透气防风雨防水防油污连帽外套单层 冲锋衣 男女同款 上衣 冲锋衣 聚酯纤维100% 纯色，字母 连帽 长袖 合身,269,"Size：S,M,L,XL,XXL"
THE NORTH FACE,"北面THE NORTH FACE 城市户外系列 SS24 户外Logo印花连帽拼色 透气速干防紫外线防水防风防晒服 男款 白色 上衣 冲锋衣 丙纶(聚丙烯纤维),其他 撞色 连帽 长袖 合身",319,"Size：S,M,L,XL,XXL"
NOCAO,NOCAO 撞色织带针织运动宽松夹克 男女同款 上衣 夹克 聚酯纤维93.7% 氨纶6.3% 撞色，条纹 高领 长袖 宽松,179,"Size：S,M,L,XL,XXL"
ROBINHOOD,罗宾汉 ROBINHOOD 美式复古基础简约品牌字母LOGO印花高街防风无性别主义学院风侧边条纹撞色拼接户外通勤宽松休闲三条杠飞行教练棒球服 男女同款 上衣 夹克 聚酯纤维100% 纯色，条纹 高领 长袖 宽松,99,"Size：S,M,L,XL,XXL"
MXDT,MXDT 简约纯色UPF50+冰丝冰感轻薄吸汗反光字母LOGO印花宽松连帽 超轻透气防水防紫外线防晒服 男女同款 上衣 防晒衣 锦纶100% 纯色 连帽 长袖 修身,59,"Size：S,M,L,XL,XXL"
MINISO,名创优品MINISO 工装风美式潮牌纯色基础款轻薄透气宽松大码松弛感学生党透气运动休闲吸湿排汗抗皱易打理冰丝凉感翻领短袖衬衫 男女同款 上衣 衬衫 聚酯纤维100% 防晒款：锦纶94% 氨纶6% 纯色 POLO领 短袖 宽松,65,"Size：S,M,L,XL,XXL"
FORHUG,FORHUG 冰丝垂坠纯色基础款方领休闲超宽松短袖衬衫 男女同款 上衣 衬衫 聚酯纤维95.2%氨纶4.8% 纯色 POLO领 短袖 宽松,69,"Size：S,M,L,XL,XXL"
Doraemon,"Doraemon哆啦A梦 薄款日系漫画风简约趣味卡通人物英文字母五角星Logo印花纽扣休闲短袖衬衫 男女同款 上衣 衬衫 涤纶,氨纶(聚氨酯弹性纤维) 纯色，字母，数字 POLO领 短袖 宽松",159,"Size：S,M,L,XL,XXL"
MINISO,名创优品MINISO 冰丝凉感轻薄透气百搭通勤翻领外套纯色极简商务风体制内证件照衬衣宽松oversize柔软亲肤单排扣Polo领短袖衬衫 男女同款 上衣 衬衫 聚酯纤维100% 纯色 POLO领 短袖 宽松,65,"Size：S,M,L,XL,XXL"
paddy julia,"paddy julia 纯色小众解构压褶设计感翻领开衫纽扣宽松休闲舒适百搭日常通勤凉感透气垂感冰丝短袖衬衫 男女同款 上衣 衬衫 涤纶,氨纶(聚氨酯弹性纤维) 纯色 POLO领 短袖 宽松",129,"Size：S,M,L,XL,XXL"
maxim,马克西姆maxim's de paris 冰丝凉感顺滑垂感简约基础款纯色衬衣轻薄柔软舒适透气宽松休闲百搭翻领开衫短袖衬衫 男女同款 上衣 衬衫 聚酯纤维95.8% 氨纶4.2% 纯色 POLO领 短袖 宽松,59,"Size：S,M,L,XL,XXL"
slamble,slamble 跑步健身篮球运动九分侧拉链梭织弹力休闲裤 男女同款 下装 修身裤 聚酯纤维94% 氨纶6% 纯色 九分裤 中腰 修身,69,"Size：S,M,L,XL,XXL"
slamble,slamble 运动潮流裤子拉链口袋宽松训练健身篮球休闲裤 男女同款 下装 修身裤 锦纶90% 氨纶10% 纯色 九分裤 中腰 修身,69,"Size：S,M,L,XL,XXL"
VEIDOORN,"维动 VEIDOORN 更迭 篮球薄款梭织速干吸汗透气训练美式直筒九分休闲裤 男女同款 下装 束脚裤 锦纶,氨纶(聚氨酯弹性纤维) 纯色 长裤 中腰 修身",65,"Size：S,M,L,XL,XXL"
BKCXZICE,BKCXZICE 剪刀印花束脚松紧腰美式速干篮球训练健身九分运动长裤 男女同款 下装 九分裤 涤纶（聚酯纤维） 纯色 九分裤 中腰 宽松,72,"Size：S,M,L,XL,XXL"
NICEID,"NICEID 九分裤露脚踝直筒训练针织运动裤 男女同款 下装 宽松裤 锦纶,氨纶(聚氨酯弹性纤维) 纯色 长裤 中腰 宽松",85,"Size：S,M,L,XL,XXL"
BKCXZICE,BKCXZICE 箭头印花美式速干跑步健身卫裤冰丝凉感宽松直筒篮球训练运动长裤 男款 下装 长裤 涤纶（聚酯纤维） 纯色 长裤 中腰 宽松,72,"Size：S,M,L,XL,XXL"
LUSHISI,LUSHISI 断裂运动系带宽松训练健身卫裤速干长裤休闲裤 男女同款 下装 长裤 聚酯纤维94% 氨纶6% 纯色 长裤 中腰 宽松,99,"Size：S,M,L,XL,XXL"
LiNing,LiNing李宁 纯色Logo松紧速干休闲直筒长裤平口运动裤 男款 黑色 下装 长裤 聚酯纤维86% 氨纶14% 纯色 长裤 中腰 宽松,93,"Size：S,M,L,XL,XXL"
未知品牌,"361° 纯色速干透气冰丝户外运动直筒平口运动裤休闲裤 男女同款 下装 长裤 涤纶（聚酯纤维）,氨纶(聚氨酯弹性纤维) 纯色 长裤 中腰 宽松",69,"Size：S,M,L,XL,XXL"
slamble,slamble 八分薄款运动裤健身跑步训练宽松休闲裤 男女同款 下装 八分裤 涤纶（聚酯纤维） 纯色 九分裤 中腰 宽松,79,"Size：S,M,L,XL,XXL"
Disney,"Disney迪士尼 冰丝薄款凉感速干美式复古潮流泼墨字母垂感高街时尚百搭宽松日常通勤运动直筒拖地休闲裤 男女同款 下装 长裤 涤纶（聚酯纤维）,氨纶(聚氨酯弹性纤维) 纯色，老鼠图案 长裤 中腰 宽松",99,"Size：S,M,L,XL,XXL"
WABRAVE,WABRAVE 美式九分裤宽松篮球运动透气直筒长裤训练跑步潮流休闲裤 男女同款 下装 九分裤 聚酯纤维100% 纯色 长裤 中腰 宽松,79,"Size：S,M,L,XL,XXL"
RIGORER,准者 RIGORER 冰冰弹冰皮长裤纯色中腰直筒宽松松紧轻薄透气休闲裤 男女同款 下装 九分裤 聚酯纤维86% 氨纶14% 纯色 长裤 中腰 宽松,89,"Size：S,M,L,XL,XXL"
